,comment,sentiment,positive,negative
3,"다른 건 다 공감가는데 화장 거의 안하는 편인 사람으로서 화장 안하는 여자 지적 안 받는 건 이해 안되네요. ‘화장 좀 해, 무슨 여자가 화장을 안하고 다녀? 매너없게.’ 등 자주 들어요,,, 남자들은 화장 안 하면서 왜 여자인 저에겐 지적질인지,,, 내가 내 피부 소중해서 자극적인 건 안 바른 다는데 왜 말들이 많은지",Negative,0.06955301016569138,0.9304470419883728
6,남자도 안경벗고 렌즈끼고  자연스러운 화장하고다니면 좋겠다 안꾸미는것보다 꾸미는놈이 더 낫다고봄,Negative,0.01411068718880415,0.9858893156051636
9,남자도 좀 꾸며야지...그리고 남이 하든지 말든지 상관안하는 게 답임,Negative,0.007077148649841547,0.992922842502594
11,맞아요 저는 화장을 아직 한번도 해본적 없고 앞으로도 안 할 여자사람인데요학교에서 친구들이 화장 왜 안하냐고 그리고 내가 화장해줄까? 그럼 진짜 예뻐질텐데 이런 말 많이 들어왔는데 진짜 이것도 여자들은 다 꾸미는걸 좋아하고 화장을 즐기고 모두가 하는 해야하는 문화가 너무 힘드네요,Negative,0.0031776262912899256,0.9968224167823792
15,47초에 여자는 화장안해도 뭐라안한다는 말은 공감이 좀 안되네요 오히려 반대로 더 자기관리 압박이 더심하죠ㅠ 여자는 자기관리안하면 뭐라하고 남자는 화장하면 뭐라한다는것 자체가 화장을 여성의 전유물로만보기때문 아닐까요 오지랖퍼들 다 사라졌으면;;,Negative,0.01845455728471279,0.9815454483032227
21,이래서 한국에 게이 많냐고 외국애들이 물어본거구나 ㅋㅋㅋ,Negative,0.022447392344474792,0.977552592754364
30,남자다움 여자다움 자체가 비하발언.. 나이드신 노인들은 노인답지 못함...,Negative,0.0033678843174129725,0.9966320991516113
36,맞아 남자가화장할수도있는거지.,Negative,0.1179286539554596,0.8820713758468628
42,"화장은 여자만 하는거다 그런 말 하지말고,,,,관리 좀 하고다녀요",Negative,0.13881529867649078,0.8611847162246704
45,"극혐까진 아닌데 혐 인건 맞아요. 남자든 여자든 결과적으로 중성적인 느낌까지는 매력으로 보이는데 그 선을 넘어버리면 혐 인거니까요. 남자가 장발해도 여자같지 않은장발이 있고, 여자가 숏컷해도 남자같지 않은 숏컷이 있듯이 화장도 그게 있다고 생각하는데 대부분 보면 화장한티도 날뿐더러 자신 피부톤보다 더 밝은색으로 하더라고요.  그럼 연얘인들은 뭐냐? 한다면... 님은 연얘인 아니잖아요 라고 반박하면 그만임.",Negative,0.004468112718313932,0.9955318570137024
54,남자가 화장하는것도 개성이지. 남자연예인들도 다 화장하잖아. 연성성 남성성 그딴게 어딧어 요즘 여자들이 짧게 머리 컷트치고 다니면 걸크고 남자들이 화장하면 게이?,Negative,0.0030388226732611656,0.996961236000061
61,어떤 성별의 어떤 사람이 화장을 하든 말든 신경끄고 사는 게 답이예요ㅜㅠㅠ,Negative,0.07810195535421371,0.9218980669975281
66,아니 남자아이돌 화장은 아무렇지도 않다고 생각하는사람들 일반 흔한 남자가 화장하면 지랄이네 진짜ㅋㅋㅋㅋㅋㅋㅋㅋ,Negative,0.12280773371458054,0.8771922588348389
75,진짜 남자다운게 뭔지 모르겠다 너무 맞는말이다,Negative,0.07937637716531754,0.9206236600875854
77,"도데체 남자가 화장하는게 어때서..? 화장은 여자만 해야하나 ㅋㅋㅋㅋ ""남자가 화장을 한다는게 이상하다"" 라고 생각하는 사람들이 더 이상함.",Negative,0.09235462546348572,0.9076453447341919
83,솔직히 남자들 제발 기본 베이스라도 바르고 다녀줬으면좋겠음 오히려 저렇게 자신을 꾸미시는분들이 훨씬 낫다고봄,Negative,0.07716764509677887,0.9228323698043823
84,비비 바르고 축구하는데 노란물 주르륵 흐르는것만 아니면 남자도 화장하는거 괜찮은데..ㅋㅋㅋㅋ솔직히 어느정도는 하는게 더 깔끔해 보이고 자기관리 하는거같아보임 피부 커버랑 눈썹 정리만 해도 인상이 달라지는데,Negative,0.05341202765703201,0.9465879797935486
102,당신들이 화장하는거 자유고 그거보고 뭐라 하는것도 자유인데요? ㅋㅋㅋㅋ,Negative,0.036354921758174896,0.9636451005935669
110,남성분들의 꾸밈노동을 응원합니다...,Negative,0.005297772586345673,0.9947022199630737
111,"나도 남자인데 비비크림이나 눈썹 정리 하교, 가끔 가다 파티에는 눈화장도 많이 하는데...정작 관리 1도 않은 폐인보단 낫다고 생각한다. 그리고 꾸민 사람,  안 꾸민 사람 중 그래도 어느 정도 꾸민 사람한테 호감이 간다.",Negative,0.08882367610931396,0.911176323890686
114,화장하는 사람:정상화장 안하는 사람:정상화장가지고 뭐라하는 사람:비정상,Negative,0.0761628970503807,0.9238371253013611
120,남돌들이 화장하는거는 왜 아무말도 안함....화장품에 남자사용금지 적힌것도 아니고 왜 못하게 하는데...오히려 자기관리를 할줄알고 깔끔한 사람이 더 나음,Negative,0.007375783286988735,0.9926241636276245
121,관리 안하는거보다 화장을 하며 자기관리하는게 더 보기 좋은데. 만약 여친 생기면 여친이랑 공감대도 좀 형성될꺼고 더 인기 많을 것 같음,Negative,0.07268805056810379,0.9273119568824768
132,0:46 여자가 화장안하면 하라고 합니다너 입술 좀 해~ 아파보여~ 등등 뭐라고 안한다는건 말이 안되죠,Negative,0.019836636260151863,0.9801633954048157
145,자기꾸미는게 뭐가 문제임? 여자든남자든 잘보이고싶어서 화장하지 아예 안꾸미고 후줄근하게 다니는거보다 화장하는게 더 좋음♡,Negative,0.1087971031665802,0.8912029266357422
154,사러갔을 때 점원이 묻는말 개공감이다 ㅋㅋ,Negative,0.10370651632547379,0.8962935209274292
160,남자답고 여자다운게없다는게 너무진짜 듣고싶은얘기고맞는말인데 왜이리듣기가힘든지,Negative,0.0056563070975244045,0.9943436980247498
162,"맞습니다 요새는 화장하는 남자들이 대세던데,,, 솔직히 안꾸미는 남자를 누가 만납니까?",Negative,0.019151683896780014,0.9808483123779297
169,근데 진짜 동감인게 ㅋㅋㅋㅋ 제가 여자인데 숏컷하고 화장 안하거든요 근데 화장품가게 가면 점원분들이 다들 선물하세요? 이렇게 물어봐요 ㅋㅋㅋㅋ 그럼 아니요 구경하는건데요 이러죠,Negative,0.04111786559224129,0.9588821530342102
171,"솔직히 얼굴에 여드름이 심해서 ""커버 화장"" 하고 다니다가 이런것때문에 기초라인이랑 선크림까지만 하게 되요 ㅋㅋㅋㅋㅋㅋ...진짜 피부 안 좋으면 지가 무슨 뭐라도 된 것 마냥 말하는데, 또 화장하면 여자냐 니가 무슨 가시나냐 하면서 참...특히 유독 친한 애들이 더 간섭질이니",Negative,0.0021670078858733177,0.9978330135345459
191,"다 맞는 말인데 하나 틀린게, 여자가 화장 안하면 사람들이 너 왜 화장안해 왜 남자되려고하냐 화장은 예의다 이런소리 합니다. 여자든 남자든 화장하고싶은사람은 하고 안하고싶은사람은 안하는, 화장이 완전히 '취향'과 '선택'일 뿐인 세상이 오길 바랍니다",Negative,0.14407095313072205,0.8559290766716003
196,맞아요 남자다운게 뭐고 여자다운게 뭔가요! 남자연예인들이 화장하는거랑 일반남자분들이 화장하는 거랑 다른것도 없다고 생각합니다! 악플러가 ×라이 인거지,Negative,0.024510467424988747,0.9754895567893982
201,"맞아요,,전 여잔데 화장을 안 하는데 애들이 너 왜 화장 안 해? 화장좀 해. 하고 강요받는 느낌의 질문을 받은 적 있었어요. (..)대체 뭔.",Negative,0.024824243038892746,0.9751757383346558
210,과하지않게 하는 화장은 남자도 하는게 낫지,Negative,0.006711684167385101,0.9932883381843567
212,그냥 어떤 성별이든지 화장하고 말고는 본인 마음이면 좋겠다..,Negative,0.020838290452957153,0.9791617393493652
214,남이 관리하든 안 하든 신경을 안 쓰면 된다꼭 남들의 눈을 위해 자기가 원하지 않은 자기 관리를 해야 하는 건가...,Negative,0.07693255692720413,0.9230674505233765
216,하나같이 다 여성스럽네,Negative,0.00455839466303587,0.9954416155815125
218,"저는 남들에게 잘 보이고싶은것도 이유지만 자기만족이 더 커서 화장을 하고 다니는것같아요. 영상에 여성분들은 왜 화장하고 다니냐고 하는 질문이있어서 댓글 남겨봐요! 전 남친생기면 제~발 렌즈 비비 립글로즈만이라도 바르고 다니면 좋을거같아요,,ㅜㅜㅋㅋ",Negative,0.011442122049629688,0.9885578751564026
233,나보다....눈썹 잘그령..부럽,Negative,0.057434551417827606,0.9425654411315918
