,comment,sentiment,positive,negative
21,이래서 한국에 게이 많냐고 외국애들이 물어본거구나 ㅋㅋㅋ,Negative,0.022447392344474800,0.977552592754364
30,남자다움 여자다움 자체가 비하발언.. 나이드신 노인들은 노인답지 못함...,Negative,0.0033678843174129700,0.9966320991516110
45,"극혐까진 아닌데 혐 인건 맞아요. 남자든 여자든 결과적으로 중성적인 느낌까지는 매력으로 보이는데 그 선을 넘어버리면 혐 인거니까요. 남자가 장발해도 여자같지 않은장발이 있고, 여자가 숏컷해도 남자같지 않은 숏컷이 있듯이 화장도 그게 있다고 생각하는데 대부분 보면 화장한티도 날뿐더러 자신 피부톤보다 더 밝은색으로 하더라고요.  그럼 연얘인들은 뭐냐? 한다면... 님은 연얘인 아니잖아요 라고 반박하면 그만임.",Negative,0.004468112718313930,0.9955318570137020
102,당신들이 화장하는거 자유고 그거보고 뭐라 하는것도 자유인데요? ㅋㅋㅋㅋ,Negative,0.036354921758174900,0.9636451005935670
110,남성분들의 꾸밈노동을 응원합니다...,Negative,0.005297772586345670,0.9947022199630740
154,사러갔을 때 점원이 묻는말 개공감이다 ㅋㅋ,Negative,0.10370651632547400,0.8962935209274290
160,남자답고 여자다운게없다는게 너무진짜 듣고싶은얘기고맞는말인데 왜이리듣기가힘든지,Negative,0.0056563070975244000,0.9943436980247500
171,"솔직히 얼굴에 여드름이 심해서 ""커버 화장"" 하고 다니다가 이런것때문에 기초라인이랑 선크림까지만 하게 되요 ㅋㅋㅋㅋㅋㅋ...진짜 피부 안 좋으면 지가 무슨 뭐라도 된 것 마냥 말하는데, 또 화장하면 여자냐 니가 무슨 가시나냐 하면서 참...특히 유독 친한 애들이 더 간섭질이니",Negative,0.0021670078858733200,0.9978330135345460
210,과하지않게 하는 화장은 남자도 하는게 낫지,Negative,0.006711684167385100,0.9932883381843570
216,하나같이 다 여성스럽네,Negative,0.00455839466303587,0.9954416155815130
288,그럼 남자연애인들은 전부 게이냐ㅋ,Negative,0.0020941556431353100,0.9979058504104610
306,놀랍게도 영상의 모든 출연자가 게이 맞아요 끼텀~끼탑이네,Negative,0.0704863891005516,0.9295136332511900
325,그래봤자 쌩얼 훈남을 이길수가없습니다..ㅠ피부관리랑 입술 쉐딩정도하면... 잘생겨지긴하지..,Negative,0.0015871901996433700,0.9984128475189210
346,메이크업까지는 좀 그렇고 남자도 피부가 깨끗한 사람이 호감이 가기는 함,Negative,0.0241698045283556,0.9758301973342900
350,솔직히 한국에서 이런것을 보면 미국보다 한국이 편견이 많다는 생각을 하게 되네요 ㅠㅠ,Negative,0.14842931926250500,0.8515706658363340
366,뭐 화장하는게 어떠냐 아이돌들도 다 메이크업 받는데 뭐근데 너무 비비떡칠하고 화장티 오지게나면 조금 부담스럽긴하지만,Negative,0.044904518872499500,0.9550954699516300
373,동영상보시면 어느정도느끼듯이 남자가화장을 한다는거 자체는 이상하지않은데 과도한 화장이나 눈쌀이찌푸려지는 정도의 화장은 상대에게 혐오감을줄수도있다.그리고 영상처럼 말투 목소리 표정  손짓 제스쳐 하나하나 여성스러운분들이 화장까지 하고다니니 게이소리를듣는겁니다아이돌이나 남자다운분들이 화장하면 전혀 게이스럽지않아보입니다화장이 잘못됐다 하면안된다가 아니고 저분들이 게이같다라는 말을 듣는 이유를 설명하는겁니다.화장하는 남자에대해 편견은없어요하지만 저렇게 여성스러운분들이 화장까지하고 공공장소에서 팩트를 두들긴다던지 여성스러움을 부각될정도로 티가난다면 눈살이 찌푸려지는건 사실입니다 대한민국이 많이 발전했지만 아직 현실은 이렇네요.안타깝네요,Negative,0.006202136632055040,0.9937978982925420
381,"요즘 보면 예쁜거랑 잘생긴거랑 구분을 못하긴 하는 듯 ㅋㅋㅋㅋ 아이돌이 다망쳐 놨지. 남자들이 점점 남성성을 잃어가고 있어 ㅋㅋㅋㅋ 뭐 본인들이 좋으니까 하겠다는거 뭐라하진 않겠지만솔직히 게이 같긴함 ㅋ. 남자다움 여자다움을 구분하는게 잘못됐다고? 남자다움과 여자다움은 분명히 존재함 ㅋ 남자다움과 여자다움이 없다면 남자, 여자를 왜나눔 그냥 사람이라고 통칭하지 ㅋ어차피 사람 본능이 남자는 여성성에 끌리게 되어있고 여자는 남성성에 끌리게 되어있다. 어린애들이나 아직 그런 개념이 없고 그러다보니 예쁜애들을 좋아하지 20대 중반만 가도 성적인 매력에 더 끌리게 되기 때문에 남자다운 남자를 더 좋아하게 되는건 팩트임 ㅋ. 화장하는거? 본인들 자유 맞음. 게이같다고 생각하는거? 내 자유 맞음. 뭐라하진 않겠음 ㅋㅋㅋ",Negative,0.11162716150283800,0.8883727788925170
